time,src,dst,type,bytes,id,seq,ttl
54.435156,192.168.100.2,192.168.200.1,request,74,1,171,126
54.435214,192.168.200.1,192.168.100.2,reply,74,1,171,128
55.444535,192.168.100.2,192.168.200.1,request,74,1,172,126
55.444582,192.168.200.1,192.168.100.2,reply,74,1,172,128
56.460216,192.168.100.2,192.168.200.1,request,74,1,173,126
56.460265,192.168.200.1,192.168.100.2,reply,74,1,173,128
646.42239,192.168.100.1,192.168.200.1,request,74,1,92,126
646.422446,192.168.200.1,192.168.100.1,reply,74,1,92,128
734.79825,192.168.100.2,192.168.200.1,request,74,1,175,126
734.798308,192.168.200.1,192.168.100.2,reply,74,1,175,128
795.076674,192.168.200.1,192.168.100.1,request,74,1,44,128
795.080403,192.168.100.1,192.168.200.1,reply,74,1,44,126
799.14128,192.168.200.1,192.168.100.2,request,74,1,45,128
799.143521,192.168.100.2,192.168.200.1,reply,74,1,45,126
813.564644,192.168.200.1,192.168.200.2,request,74,1,47,128
813.566359,192.168.200.2,192.168.200.1,reply,74,1,47,128
836.077262,192.168.200.2,192.168.200.1,request,74,1,43,128
836.077326,192.168.200.1,192.168.200.2,reply,74,1,43,128
1061.82589,192.168.100.1,192.168.200.1,request,1042,1,94,126
1061.825949,192.168.200.1,192.168.100.1,reply,1042,1,94,128
1062.843235,192.168.100.1,192.168.200.1,request,1042,1,95,126
1062.843296,192.168.200.1,192.168.100.1,reply,1042,1,95,128
1063.858845,192.168.100.1,192.168.200.1,request,1042,1,96,126
1063.858894,192.168.200.1,192.168.100.1,reply,1042,1,96,128
1064.874559,192.168.100.1,192.168.200.1,request,1042,1,97,126
1064.874608,192.168.200.1,192.168.100.1,reply,1042,1,97,128
1065.890151,192.168.100.1,192.168.200.1,request,1042,1,98,126
1065.890212,192.168.200.1,192.168.100.1,reply,1042,1,98,128
1066.905772,192.168.100.1,192.168.200.1,request,1042,1,99,126
1066.905832,192.168.200.1,192.168.100.1,reply,1042,1,99,128
1067.921466,192.168.100.1,192.168.200.1,request,1042,1,100,126
1067.921527,192.168.200.1,192.168.100.1,reply,1042,1,100,128
1068.937083,192.168.100.1,192.168.200.1,request,1042,1,101,126
1068.937143,192.168.200.1,192.168.100.1,reply,1042,1,101,128
1069.952771,192.168.100.1,192.168.200.1,request,1042,1,102,126
1069.952835,192.168.200.1,192.168.100.1,reply,1042,1,102,128
1070.968381,192.168.100.1,192.168.200.1,request,1042,1,103,126
1070.968446,192.168.200.1,192.168.100.1,reply,1042,1,103,128
1071.984037,192.168.100.1,192.168.200.1,request,1042,1,104,126
1071.9841,192.168.200.1,192.168.100.1,reply,1042,1,104,128
1072.999745,192.168.100.1,192.168.200.1,request,1042,1,105,126
1072.999808,192.168.200.1,192.168.100.1,reply,1042,1,105,128
1074.015296,192.168.100.1,192.168.200.1,request,1042,1,106,126
1074.015346,192.168.200.1,192.168.100.1,reply,1042,1,106,128
1075.031059,192.168.100.1,192.168.200.1,request,1042,1,107,126
1075.031112,192.168.200.1,192.168.100.1,reply,1042,1,107,128
1076.046628,192.168.100.1,192.168.200.1,request,1042,1,108,126
1076.046679,192.168.200.1,192.168.100.1,reply,1042,1,108,128
1077.062222,192.168.100.1,192.168.200.1,request,1042,1,109,126
1077.062284,192.168.200.1,192.168.100.1,reply,1042,1,109,128
1078.077873,192.168.100.1,192.168.200.1,request,1042,1,110,126
1078.077922,192.168.200.1,192.168.100.1,reply,1042,1,110,128
1099.211155,192.168.200.1,192.168.100.2,request,342,1,48,128
1099.2139,192.168.100.2,192.168.200.1,reply,342,1,48,126
1100.227627,192.168.200.1,192.168.100.2,request,342,1,49,128
1100.230348,192.168.100.2,192.168.200.1,reply,342,1,49,126
1101.241916,192.168.200.1,192.168.100.2,request,342,1,50,128
