Node,Category,Metric,Value
1,Size,Requests Sent,128
1,Size,Requests Recieved,49
1,Size,Replies Sent,49
1,Size,Replies Recived,128
1,Size,Request Bytes Sent,89452
1,Size,Request Bytes Recieved,89452
1,Size,Request Data Sent,84076
1,Size,Request Data Recieved,84076
1,Time,Average RTT (ms),1.87
1,Time,Request Throughput (kB/sec),263.9
1,Time,Request Goodput (kB/sec),248.0
1,Time,Average Reply Delay (us),1870.18
1,Distance,Average Request Hop Count,0.66
2,Size,Requests Sent,70
2,Size,Requests Recieved,28
2,Size,Replies Sent,28
2,Size,Replies Recived,70
2,Size,Request Bytes Sent,58672
2,Size,Request Bytes Recieved,58672
2,Size,Request Data Sent,55732
2,Size,Request Data Recieved,55732
2,Time,Average RTT (ms),0.94
2,Time,Request Throughput (kB/sec),250.8
2,Time,Request Goodput (kB/sec),238.3
2,Time,Average Reply Delay (us),943.93
2,Distance,Average Request Hop Count,0.45
3,Size,Requests Sent,49
3,Size,Requests Recieved,17
3,Size,Replies Sent,17
3,Size,Replies Recived,49
3,Size,Request Bytes Sent,21486
3,Size,Request Bytes Recieved,21486
3,Size,Request Data Sent,19428
3,Size,Request Data Recieved,19428
3,Time,Average RTT (ms),1.21
3,Time,Request Throughput (kB/sec),102.1
3,Time,Request Goodput (kB/sec),92.3
3,Time,Average Reply Delay (us),1208.77
3,Distance,Average Request Hop Count,0.4
4,Size,Requests Sent,40
4,Size,Requests Recieved,4
4,Size,Replies Sent,4
4,Size,Replies Recived,40
4,Size,Request Bytes Sent,12992
4,Size,Request Bytes Recieved,12992
4,Size,Request Data Sent,11312
4,Size,Request Data Recieved,11312
4,Time,Average RTT (ms),1.72
4,Time,Request Throughput (kB/sec),38.1
4,Time,Request Goodput (kB/sec),33.2
4,Time,Average Reply Delay (us),1715.14
4,Distance,Average Request Hop Count,0.79
